[0]:  «Сол-6»
[169]:  инженерную палубу для размещения Sparkle двигателя,
[172]:  и системы накопления энергии на крупных кристаллах.
[176]:  Стандартный причальный шлюз был установлен на задней
[179]:  переборке, что позволяло кораблю посещать космическую
[183]:  станцию CSP и стыковаться с другими космическими
[186]:  аппаратами.
[187]:  На нём также был установлен самый мощный компьютер,
[191]:  способный в режиме реального времени управлять Sparkle двигателем
[195]:  с частотой генерации в четверть мегагерца, что требовало
[198]:  примерно восьмую часть его общей вычислительной
[201]:  мощности.
[202]:  Конечно же, это не была скорость света.
[205]:  Это даже не была скорость, которую стоило выражать
[208]:  процентами от скорости света.
[211]:  Но корабль был достаточно быстр, чтобы вместо шести
[214]:  месяцев полёта в одну сторону от Эквуса до планеты Буцефалл,
[218]:  при наиболее удачном их расположении, Амицитас,
[222]:  после переоборудования, мог добраться туда практически
[225]:  по прямой засрок лишь немногим превышающей сутки.
[229]:  В этом полёте экипаж Амицитас состоял из двух членов Эквестрийского
[234]:  космического агентства, двух членов космической
[236]:  программы Чейнджлингов и одного члена консорциума
[239]:  более мелких агентств, которые, когда космическая
[243]:  гонка была завершена, просто влились в ту или иную из
[246]:  двух соперничавших организаций.
[248]:  Черри Берри, самый опытный в мире космический пилот,
[251]:  командовала полётом.
[253]:  Чейнджлинг Dragonfly исполняла обязанности главного инженера
[257]:  и офицера по компьютерным системам.
[260]:  Starlight Glimmer, как один из двух конструкторов Sparkle-двигателя,
[264]:  присутствовала, чтобы лично убедиться, что с ним всё
[267]:  в порядке, совмещая это со второй должностью в команде
[270]:  офицера по науке.
[271]:  Fireball, единственный в мире астронавт-дракон, был выбран
[276]:  третьим членом команды за его богатый опыт в проведении
[280]:  наружных работ, а также как специалист по выживанию
[283]:  в сложных условиях.
[285]:  И, наконец, последнее место заняла Spitfire, единственный
[288]:  член экипажа, вообще не имеющий опыта космических
[292]:  полётов.
[293]:  Она заняла это место как единственный член SA в Лас-Пегасусе, доступный
[298]:  в тот момент для многодневного полёта внеоколопланетного
[300]:  пространства Эквуса.
[302]:  Запуск с помощью обычных ракет, пристыкованных к
[305]:  кораблю, прошёл безупречно, так же как и стыковка с
[308]:  космической станцией CSP для проверки работоспособности
[312]:  нового стыковочного узла.
[314]:  После краткого визита на станцию, корабль отстыковался,
[319]:  использовал свои магические двигатели, чтобы отойти
[322]:  от станции, и, выждав, пока орбита не выведет его на
[325]:  прямую видимость с далёкой красной точкой-буцефалом,
[329]:  активировал свой Sparkle-двигатель и унёсся туда размытым потоком
[333]:  магического света.
[335]:  Семнадцать часов, всё шло хорошо.
[339]:  Привод телепортировал массивный корабль и его
[341]:  команду через межпланетную пустоту по четыре метра
[344]:  за раз, двести пятьдесят тысяч раз в секунду.
[348]:  Экипаж ел, спал, просыпался и снова ел, по очереди дежуря
[352]:  на случай, если что-то пойдёт не так, но ничего не происходило.
[357]:  А потом произошло.
[359]:  Полёт должен был быть совершенно безопасным.
[362]:  Sparkle-двигатель фактически не изменял физического
[364]:  импульса корабля, между каждой телепортацией он
[367]:  продолжал двигаться с орбитальной скоростью, что ограничивало
[371]:  любой потенциальный ущерб от космической пыли и микрометеоритов.
[374]:  В качестве второй ступени защиты, стандартное, в общем-то,
[379]:  заклинание телепортации, используемое двигателем,
[382]:  содержало защитные протоколы, которые давали гарантию,
[386]:  что место назначения было пустым, таким образом,
[388]:  избегая либо столкновений, что само по себе было плохо,
[392]:  либо наложения двух объектов в одной и той же точке пространства
[395]:  времени, что было многократно хуже.
[398]:  Заклинание автоматически смещало корабль на достаточное
[402]:  расстояние, чтобы избежать столкновения.
[405]:  К сожалению, и у самого корабля, и у Sparkle-двигателя,
[408]:  приводящего его в движение, было три недостатка, один
[412]:  из которых должен был быть найден конструкторами
[415]:  двигателя.
[416]:  Другой никто не мог бы предсказать до того, как он проявился,
[419]:  и с последним никто в любом случае ничего не мог поделать.
[423]:  Первым недостатком было то, что хоть заклинание,
[426]:  изначально используемое единорогами и аликорнами,
[430]:  ограничивало свое действие лишь тремя пространственными
[433]:  координатами.
[434]:  Для аварийного смещения это ограничение было случайно
[437]:  удалено из матрицы заклинаний двигателя.
[441]:  Вторым недостатком Sparkle-двигателя, да и фактически почти всех
[444]:  остальных энергетических систем на переоборудованном
[447]:  корабле, было то, что они все зависели от параметров
[450]:  физики и метафизики вселенной Эквуса, где уровень магии
[454]:  был очень высок.
[456]:  Никто даже не задумался, как они будут функционировать,
[459]:  если эти параметры внезапно изменятся.
[461]:  И, наконец, третьим недостатком являлось то, что все планы
[466]:  действий в чрезвычайных ситуациях для корабля и
[469]:  экипажа в космическом полете с самого начала космической
[473]:  гонки опирались на мгновенную и непрерывную связь с Эквусом,
[477]:  обеспечиваемую заклинанием телеприсутствие, установленным
[480]:  на всех без исключения кораблях.
[482]:  Микрометеорит размером с крупинку с песчаного пляжа
[485]:  оказался на траектории полета Амицитас.
[488]:  Заклинание телепортации Sparkle двигателя автоматически
[492]:  сместило вектор перемещения корабля, чтобы избежать
[495]:  столкновения.
[496]:  И все покатилось в тартар.
[498]:  Амицитас.
[499]:  Полет третьего дня миссии.
[501]:  День миссии второй.
[503]:  Голова Spitfire закружилась, когда Амицитас дернулся,
[507]:  словно жеребец, укушенный шершнем, и тут же почти все
[510]:  огни на мостике погасли вместе с тремя четвертями
[513]:  контрольных дисплеев.
[515]:  Она двигалась на полном автомате, когда услышала
[518]:  команду надеть скафандры, подплыла к шкафу для хранения
[521]:  костюмов, расположившемуся вдоль задней стены, вытащила
[525]:  свой из системы подзарядки и скользнула в него.
[529]:  Тренировка за тренировкой на Земле позволила всем
[532]:  им перейти от повседневной формы к надетому и наддутому
[535]:  скафандру менее чем за минуту, даже в этих самых дезориентирующих
[539]:  условиях, что ученые могли бы себе вообразить.
[542]:  Скафандр наддут.
[545]:  Как обычно, Dragonfly была первой, кто доложил об окончании.
[549]:  На тренировках Spitfire всегда считала чейнджлингов мошенниками,
[553]:  не чурающимися грязных приемчиков, чтобы быть
[556]:  первыми, но теперь ее больше интересовало то, что только
[560]:  что произошло с кораблем.
[562]:  Скафандр наддут.
[564]:  Это был Fireball Dragon.
[566]:  Этому точно помогало наличие больших пальцев на лапах.
[569]:  Скафандр наддут.
[571]:  Cherryberry помог опыт.
[574]:  В конце концов, это была единственная кобыла, которая
[577]:  приземлялась на своем корабле на двух разных небесных
[580]:  телах, помимо Эквуса.
[583]:  Скафандр наддут.
[584]:  А вот это уже ее собственный доклад, сделанный по привычке
[588]:  пронзительным голосом.
[590]:  Тьфу.
[591]:  Тьфу.
[593]:  Скафандр наддут.
[595]:  И это была Starlight Glimmer, которая как единорог должна была
[599]:  управиться быстрее всех.
[601]:  Чрезвычайная ситуация.
[603]:  Способность Cherryberry вкладывать сталь в то, что обычно было
[607]:  скрипучим и безобидным голосом, не переставала
[610]:  удивлять Spitfire.
[612]:  Она видела, как эта кобыла на земле паникует, как
[614]:  самая обычная пони, кричит, беспорядочно бегает, словом,
[619]:  абсолютно бесполезно.
[621]:  Но посади ее на корабль, и она становится известной
[624]:  кобылой-ракетоводителем с остальным взглядом и нервами.
[628]:  При любых других обстоятельствах, подумала Spitfire, я была бы
[631]:  командиром.
[633]:  Как ни крути, но я ведь майор в эквестрийской армии,
[636]:  а с таким огромным опытом полетов и лидерства даже
[639]:  разговаривать было не о чем.
[641]:  И вот я здесь, самая старшая пони на корабле и единственный
[645]:  новичок.
[646]:  Даже Starlight уже летала один раз.
[649]:  Поэтому мое правильное поведение – сиди и молчи,
[652]:  покуда кто-то не пострадает.
[654]:  От командира эскадрильи до полевого медика.
[658]:  Какое падение.
[659]:  Вокруг мостика зажглись аварийные лампочки, уменьшившие,
[663]:  но не устранившие мрак.
[665]:  Черри Берри вернулась на место командира, а Spitfire
[669]:  уселась в кресло пилота.
[671]:  Название должностей вводили в заблуждение.
[674]:  На самом деле кораблем управлял командир.
[677]:  Ну, до тех пор, пока ей не потребуется помощь, которую
[680]:  ей мог предоставить пилот.
[682]:  А пилот, тем временем, следил за показаниями и обращал
[685]:  внимание командира на все, что в этом нуждалось.
[689]:  «Балтимер, это Амицитас», — сказала Черри, активируя
[693]:  гарнитуру.
[694]:  «У нас возникла проблема.
[696]:  Тишина.
[697]:  Балтимер, это Амицитас.
[700]:  Отвечайте.
[701]:  Прием».
[702]:  «Ничего.
[703]:  Харстон, это Амицитас.
[706]:  Вы меня слышите?»
[708]:  В ответ не было слышно даже статики.
[710]:  Проклятье.
[712]:  Черри Берри извернулась на своем месте.
[715]:  «Старлайт?
[716]:  Файерболл.
[717]:  Проверьте корабль.
[719]:  Я хочу знать, теряем ли мы воздух».
[722]:  Драгонфлай коснулась одного из дисплеев.
[725]:  «Давление в кабине остается стабильным на одной атмосфере,
[728]:  Черри», — сказала она.
[730]:  «Кристалл поддержания жизнеобеспечения работает в штатном режиме.
[735]:  В любом случае, проверить корабль.
[737]:  Файерболл, возможно, тебе придется выйти наружу.
[740]:  Поэтому будь готов».
[742]:  Спитфайр.
[743]:  «Продолжай пытаться связаться с домом».
[745]:  Драгонфлай.
[746]:  «Мне нужна диагностика матрицы телеприсутствия».
[749]:  Когда Старлайт и Файерболл ушли проверять двигатели,
[752]:  Спитфайр сосредоточила свое внимание на повторяющихся вызовах на Землю.
[757]:  Сначала через систему телеприсутствия, а затем через резервное радио.
[762]:  Балтимер.
[763]:  Это Амицитас.
[765]:  Проверка связи.
[767]:  Балтимер.
[769]:  Это Амицитас.
[771]:  Проверка связи.
[773]:  Балтимер.
[774]:  Проверяю связь Амицитас на резервной волне.
[778]:  Подожди.
[779]:  Она замолчала, затем проверила радио по всем предустановленным
[783]:  настройкам частоты, чтобы проверить то, что она заподозрила.
[787]:  Командир.
[788]:  Я вообще не слышу ни одного спутника из сети С.
[792]:  Ни единого.
[793]:  «Думаешь, мы потеряли антенну?»
[796]:  спросила Черри Берри.
[797]:  «Индикатор зеленый», ответила Спитфайр.
[800]:  «И я получаю все виды статики.
[803]:  Просто нет сигналов со спутников».
[806]:  Драгонфлай выглянула из-под пульта управления, закрывая
[809]:  панель, в которую она только что смотрела.
[811]:  «Кристалл телеприсутствия не поврежден», сказала она.
[816]:  «Но в нем нет энергии.
[818]:  Разве заклинание не должно продолжать работать, пока
[821]:  хоть одна из сторон получает ману?», спросила Черри Берри.
[824]:  «Именно так», кивнула Драгонфлай, тихо шипя.
[829]:  «Мне действительно не нравится все это».
[832]:  Двигательный отсек вызывает Спитфайр.
[835]:  Раздался в наушниках голос Файрбола.
[837]:  Срочно нужна медицинская помощь.
[840]:  Спитфайр в машинное отделение для оказания срочной медицинской
[843]:  помощи.
[845]:  Прежде чем Спитфайр успела сделать что-то большее,
[848]:  чем просто отстегнуть ремни, Старлайт Глиммер задыхающимся
[852]:  голосом проворчала.
[854]:  «Отставить это… Со мной все в порядке».
[858]:  «Драгонфлай, ты пыталась использовать какую-нибудь
[860]:  магию с тех пор как… Это… Случилось?»
[866]:  «Нет, не пробовала.
[868]:  И не надо.
[869]:  Я тут получила небольшое магическое истощение,
[872]:  попытавшись запустить три заклинания разом».
[875]:  «Командир?»
[876]:  «Да», спросила Черри Берри.
[879]:  «Я здесь».
[880]:  «У нас серьезные проблемы».
[882]:  Голос Старлайт Глиммер стал немного увереннее, когда
[885]:  она продолжила.
[887]:  Кристалл двигателя на вид целый, но полное сканирование
[890]:  прервалось прежде, чем я смогла убедиться, что
[893]:  он не поврежден.
[894]:  «Электроника и источники питания тоже выглядят целыми
[898]:  и невредимыми.
[899]:  Но все кристаллы накопителей разрушены.
[902]:  Даже хуже, чем разрушены, рассыпались в пыль.
[904]:  Тут сзади пара болтов плавает в воздухе», — добавил Фаербол.
[910]:  «Я вижу некоторые вмятины в стенах.
[913]:  Тот взрыв, который мы почувствовали, очевидно был взрывом всех
[916]:  этих драгоценных камней.
[918]:  Потом раздалось низкое рычание, и дракон добавил «Я бы мог
[922]:  их есть дня два, не меньше».
[925]:  «Ладно, тогда распаковывайте запчасти», — приказала
[929]:  Черри Берри.
[930]:  «А у нас их нет», — простанала Старлайт.
[934]:  Запасы по мощности были настолько избыточны, что
[937]:  мы с Твайлайт подумали, что все будет в порядке, даже
[941]:  если некоторые из кристаллов перегорят или даже взорвутся.
[944]:  Мы никогда не могли предположить, что они взорвутся все одновременно.
[949]:  Черри Берри застонала.
[951]:  Спитфайер была удивлена тем, как хорошо этот стон
[954]:  заставил ее себя почувствовать.
[957]:  Она ожидала хныкания.
[958]:  «Хорошо, так что же у нас осталось?»
[961]:  «Две резервные манобатареи для систем мостика», — сказала
[965]:  Драгонфлай.
[966]:  «Восемь манобатарей в блоках маневровых двигателей
[970]:  и батареи в комплексах подруливающих устройств.
[972]:  А как насчет главных двигателей?», — спросила Черри Берри.
[978]:  «Они были запитаны от энергоблока основного привода», —
[981]:  простонала Старлайт Глиммер.
[983]:  «Можешь считать их мертвыми».
[985]:  «Замечательно», — проворчала Черри Берри.
[989]:  «Ну, мы что-нибудь придумаем.
[991]:  Возвращайтесь на место и пристегнитесь».
[993]:  Она откинулась на спинку кресла, сделав пару глубоких вдохов.
[997]:  «По крайней мере, у нас еще есть воздух и вода, так
[1000]:  что хоть что-то все еще работает.
[1002]:  И у нас еще есть пища на 30 дней».
[1005]:  «Даже больше», — сказала Спитфайр.
[1008]:  «Амицитос изначально был кораблем для экипажа из
[1010]:  семи пони.
[1012]:  У нас есть 30-дневный рацион на файрболы и 6 30-дневных
[1016]:  рационов для пони.
[1018]:  А нас всего четверо».
[1021]:  «Трое», — поправила Драгонфлай.
[1023]:  «Я Чейнджлинг, а не пони.
[1026]:  Мне не надо есть нормальную еду.
[1028]:  Во всяком случае, много мне ее точно не надо».
[1032]:  «Прекрасно», — сказала Черри Берри.
[1035]:  «Но файрбол ведь может есть и нашу еду, если будет
[1038]:  нужно.
[1039]:  Таким образом, мы можем и подождать некоторое время
[1041]:  до спасения».
[1042]:  «Как обстоят дела с нашими другими расходными материалами?
[1046]:  Подруливающие устройства показывают 100% уровня мана
[1049]:  и стабильны», — сообщила Драгонфлай.
[1052]:  «Электричество… эээ…»
[1055]:  Чейнджлинг нажала на тумблер, и где-то в середине корабля
[1059]:  что-то заскрипело.
[1060]:  «Резервные солнечные батареи разворачиваются», — пояснила
[1064]:  она.
[1065]:  «Аккумуляторы разрядились буквально мгновенно.
[1068]:  Двери на мостик открылись, чтобы впустить файрбола,
[1071]:  который одной лапой проталкивал себя через люк, а другой
[1073]:  тащил за собой ослабевшую Старлайт».
[1076]:  Спитфайр сразу поднялась с кресла, игнорируя протесты
[1080]:  Старлайт и помогая файрболу уложить ее в принадлежащее
[1083]:  ей кресло.
[1084]:  «Сиди и не дрыгайся», — сказала она, ныряя к кабинету неотложной
[1090]:  помощи за своими основными инструментами.
[1092]:  «Не бери в голову», — слабо сказала Старлайт.
[1096]:  «В любом случае, я вам пока не помощник в большинстве
[1099]:  дел.
[1100]:  Мне просто нужно немного времени, чтобы восстановить
[1103]:  свою магию».
[1105]:  Спитфайр моргнула.
[1106]:  Она вовсе не была близкой подругой ученицы и коллеги
[1109]:  Twilight Sparkle, но даже она прекрасно знала, что та одна из самых
[1113]:  могущественных единорогов в Эквестрии с почти бездонным
[1117]:  запасом магии.
[1118]:  Время ее восстановления после сильнейших заклинаний
[1121]:  было столь мало, что… ну, пожалуй, не успеешь и спросить,
[1126]:  который час.
[1127]:  «Командир», — сказала Старлайт, игнорируя незаданный вопрос,
[1131]:  — «нам нужно немедленно отключить все несущественное
[1133]:  магическое оборудование.
[1135]:  Я думаю, что мы по какой-то причине находимся в пространстве
[1139]:  бедным магией».
[1140]:  «Хм, пожалуй, да», — пробормотала Dragonfly, глядя на консоль.
[1146]:  «Это соответствует тому, что я здесь вижу.
[1150]:  Магические батареи мостика уже разряжены примерно на треть.
[1154]:  Так сделаем же это».
[1156]:  Cherry Berry, Dragonfly и Spitfire стали нажимать на выключатели,
[1160]:  деактивируя заклинания телеприсутствия, большую
[1163]:  часть оставшегося внутреннего освещения и различные другие
[1167]:  маловажные системы, которые делали жизнь на корабле
[1170]:  приятнее, но не способствовали выживанию.
[1173]:  «Наконец», — Dragonfly сказала, — «хорошо, мы достаточно
[1178]:  стабильны».
[1179]:  Теперь ничто не тянет магию, кроме блока навигации
[1182]:  и систем управления.
[1184]:  Но заряд батарей по-прежнему не идет.
[1186]:  «Это невозможно», — раздраженно сказала Cherry Berry.
[1191]:  Магия пронизывает вселенную от края до края.
[1194]:  Она сильнее там, где жизнь бьет ключом, но и здесь мы
[1197]:  должны получать больше маны, чем нам надо, чтобы
[1200]:  справиться с этим.
[1202]:  Она ткнула копытом в единственный светящийся на панелях управления
[1206]:  прибор коричневый, по большей части шар на навигационном
[1209]:  экране.
[1210]:  Слова «по большей части коричневый» эхом прокатились
[1214]:  в голове Spitfire, ища хоть что-то, к чему можно было бы прицепиться.
[1219]:  «Мана пронизывает вселенную вокруг Эквестрии», — ответила
[1223]:  Starlight Glimmer.
[1225]:  «Но вполне возможно, что есть места, более богатые
[1228]:  магии и магии, обделенные…»
[1231]:  «Но Бутцефал не является одним из таких мест», — настаивала
[1235]:  Cherry Berry.
[1236]:  «Мы отправили на его орбиту зонд.
[1239]:  Мы знаем, что у него было более, чем достаточно магии,
[1242]:  чтобы работали заклинания телеприсутствия».
[1246]:  Слова «орбита» эхом отозвалось в голове Spitfire, снова ища
[1250]:  что-то, к чему можно было бы пристать.
[1253]:  Бутцефал находился сейчас совершенно в другом месте
[1256]:  своей орбиты, огрызнулась Starlight Glimmer, вернув себе
[1259]:  немного энергии.
[1261]:  «В этой вселенной столько всего, что мы просто не знаем,
[1264]:  что…»
[1265]:  Копыта Spitfire дотянулись до органов управления, активируя
[1269]:  двигатели ориентации и медленно опуская нос корабля.
[1272]:  Почти сразу же что-то большое и ржаво-красное появилось
[1276]:  в стеклах носового обтекателя.
[1278]:  «Спитфайр, что ты…»
[1281]:  «Святая Селестия…»
[1283]:  выдохнула Cherry Berry, глядя сквозь стекло.
[1286]:  «Это же Бутцефал.
[1289]:  Мы не должны быть столь близко».
[1291]:  Красная планета почти целиком заполняла окна.
[1294]:  Я заметила его на навигационном экране.
[1297]:  Коротко сказала Spitfire.
[1299]:  Маркер движения планеты находится в коричневом секторе.
[1302]:  «Если бы мы все еще находились на околосолнечной орбите,
[1305]:  как того следовало ожидать, то он был бы голубым.
[1308]:  Так что я…»
[1309]:  «Это не Бутцефал», закричала Starlight с ужасом в голосе.
[1315]:  «Вон те вулканы не на своем месте».
[1318]:  Dragonfly наклонилась и активировала систему
[1320]:  резервной картографии и навигации.
[1323]:  Обычно расчетные траектории курса передавались с Земли,
[1327]:  но Amicitos был первым эквестрийским кораблем,
[1329]:  на котором была собственная дублирующая система.
[1333]:  Карта показала одно Солнце и одну планетарную орбиту,
[1336]:  которую компьютер перерисовывал несколько раз в секунду,
[1340]:  словно сомневаясь в ее правильности.
[1343]:  Dragonfly увеличила карту до планетарного уровня.
[1346]:  «Определенно не Бутцефал», сказала она.
[1350]:  «Александр пропал, зато тут есть два близко вращающихся астероида…»
[1355]:  И все, выдохнула она.
[1358]:  И тут, по крайней мере, 11 спутников,
[1361]:  там, где у нас должен быть только один.
[1364]:  «Сейчас это неважно», — простонала Черри.
[1367]:  Прогнозируемая траектория показывала,
[1369]:  что корабль столкнется с планетой примерно через 40 минут.
[1374]:  «Старлайт, есть ли способ подать мощность с мостика на главные двигатели?
[1379]:  Мы больше не в нашей собственной солнечной системе», —
[1382]:  в ответ простонала Старлайт.
[1384]:  «Мы можем быть даже не в одной с ней вселенной?
[1387]:  О, во что я вас всех втянула!»
[1390]:  «Оставайся со мной, Старлайт», —
[1392]:  сказала Черри Берри Тоном,
[1394]:  который Spitfire военную косточку просто не мог не восхищать.
[1398]:  «Работай над проблемой.
[1400]:  Можем ли мы подать энергию на двигатели?»
[1402]:  Старлайт Глимер потратила пару секунд.
[1405]:  Тяжело дыша, делая при этом левым копытом
[1407]:  странные движения вперед и назад.
[1410]:  Правильно.
[1411]:  Э-э-э…
[1412]:  Да.
[1413]:  Это займет около десяти минут.
[1415]:  Но обе батареи при полном заряде смогут привести двигатели
[1418]:  на полную мощность в течение примерно трех секунд.
[1422]:  Аккумуляторы ведь резервные.
[1424]:  Они предназначались только для питания мостика в аварийной ситуации,
[1428]:  а не для двигателей.
[1430]:  «И у нас в них нет ничего близкого к полной зарядке», —
[1433]:  закончила Черри Берри.
[1435]:  «И мы потеряем большую часть контроля над кораблём,
[1438]:  если сделаем это».
[1440]:  Итак, всё, что у нас осталось, —
[1443]:  это система маневровых двигателей.
[1445]:  Можем ли мы хотя бы с них перебросить энергию на мостик?
[1449]:  «Потребуется выход в открытый космос», —
[1451]:  сказала Старлайт.
[1453]:  Этими двигателями заменили аналогичные,
[1456]:  но с химическим питанием.
[1458]:  Но они остались настолько же автономными, как и прежние.
[1462]:  «Хорошо. Хорошая новость состоит в том,
[1465]:  что всё становится проще», — ответила Черри Берри,
[1468]:  в лучших традициях военного чёрного юмора.
[1471]:  «Какая-то часть Spitfire даже нашла время задуматься,
[1474]:  а не насилили когда-нибудь в прошлом родители
[1477]:  этой земнопонии военный мундир».
[1479]:  Ладно.
[1480]:  Spitfire, следи за уровнями энергии в двигателях.
[1484]:  Я хочу знать, когда он упадёт ниже 20%.
[1487]:  Это мой аварийный запас.
[1489]:  Мы собираемся смягчить наш подход к планете до такой степени,
[1493]:  что если нам повезёт, то мы срекошетим от атмосферы
[1496]:  и вернёмся назад в космос.
[1498]:  Если же нам повезёт меньше, мы совершим контролируемую посадку.
[1503]:  «Это если нам вообще повезёт», —
[1505]:  пробормотала Dragonfly.
[1507]:  «У нас сегодня явно плохой день».
[1509]:  «Плохой день?», — спросил Fireball, не услышав начало фразы.
[1514]:  «Ты что, считаешь этот день плохим?»
[1517]:  «Да это ужаснейший день».
[1520]:  «У нас неплохой день», — прорычала Cherryberry.
[1523]:  «Я собираюсь посадить этот корабль, и мы все будем спасены,
[1527]:  и всё у нас будет хорошо».
[1529]:  Spitfire глубоко вздохнула и медленно выдохнула.
[1533]:  С одной стороны, Cherry говорила и делала всё правильно,
[1537]:  подавляя панику, демонстрируя как можно больше уверенности
[1540]:  в сложившихся обстоятельствах и решая проблему.
[1544]:  С другой стороны, цифры не врут.
[1547]:  Планета, небуце-фал, да и особой разницы это не играла планета,
[1552]:  станет могилой для корабля, движущегося прямо в неё
[1555]:  с орбитальной скоростью и лишь ускоряющегося за счёт её гравитации.
[1559]:  Для спасения их жизни понадобится, как минимум, чудо от самой Faust.
[1565]:  Starlight, извлеки одну батарею и верни мне контроль над главными двигателями.
[1570]:  — сказала Cherry.
[1572]:  Даже несколько секунд при слабом притяжении гораздо лучше, чем ничего,
[1576]:  и мы могли бы восстановить немного энергии.
[1579]:  Fairball, закрепишь там всё как можно крепче.
[1583]:  Когда вернётесь назад, то сразу же пристёгиваетесь.
[1586]:  Это будет очень жёсткая поездочка.
[1588]:  Spitfire подтянула ремни и кивнула в знак согласия.
[1592]:  Это действительно было очень непросто, и они все могли только надеяться,
[1596]:  что остановка в конце пути не будет смертельно внезапной.
[1601]:  Запуск магических двигателей в иной вселенной вызвал непредсказуемые последствия.
[1606]:  Внизу перед кораблём, который изо всех сил пытался перевести свою вертикальную скорость в горизонтальную,
[1613]:  пыльная буря, уже и так довольно мощная по меркам скудной атмосферы этого крошечного пустынного мира,
[1619]:  разрослась до титанических размеров,
[1622]:  угрожая крупнейшему на данный момент искусственному сооружению на поверхности.
[1627]:  За миллионы миль отсюда, на другой планете,
[1630]:  наблюдатели заметили это внезапное и необъяснимое изменение погоды
[1634]:  и предупредили обитателей сооружения, чтобы они подготовились к эвакуации как из него, так и по и с планеты в целом.
[1642]:  Тем временем, ничего не знавшая об этом, пилот корабля,
[1646]:  задействовала все приёмы, которые выучила или изобрела сама за десятки посадок на разных аппаратах.
[1653]:  Она то предельно экономно отрабатывала двигателями,
[1656]:  то нервно постукивала копытом, ожидая, пока они медленно восстановят заряд.
[1661]:  И благодаря то ли мастерству, то ли везению и срочным молитвам ко всем, кому не всё равно,
[1666]:  она сотворила чудо, превратив курс на столкновение в пологий нырок в атмосферу.
[1672]:  Но достичь невозможного ей всё же не удалось разреженная пыльная атмосфера планеты
[1677]:  вцепилась в корабль и отказывалась отпускать.
[1680]:  Крылатый фюзеляж корабля тормозился слишком быстро, чтобы удержаться на орбите,
[1685]:  но недостаточно для управляемой посадки на неподготовленную поверхность.
[1690]:  В качестве отчаянной меры аварийные солнечные батареи, убранные перед снижением, были выпущены снова.
[1697]:  Через миг они сорвались с креплений, почти не замедлив корабль.
[1701]:  Следом был выпущен аварийный тормозной парашют, а за ним посадочные парашюты.
[1706]:  Все они продержались лишь пару секунд, после чего их порвало в клочья.
[1711]:  Наконец, не видя другого выхода, пилот задрала нос как можно выше, стараясь хоть как-то затормозить.
[1718]:  Маневровые движки, перегруженные сверх всякой меры, исчерпали ману и вырубились.
[1723]:  Гироскопы ориентации, вынужденные работать непрерывно,
[1727]:  выжрали всю энергию электрических батарей и автоматически отключились.
